ID,FirstName,SecondName
269,散漫的,恶天
270,杀戮者,红桃6
271,善变的,炎皇
272,善良的,蔡
273,善意的,可冥
274,善战者,翟
275,伤心的,大楚
276,奢华的,虞
277,深沉的,广山
278,深仇,剑鬼
279,神经的,红桃7
280,神秘的,田
281,神行者,虔诚者
282,审判者,方片Q
283,生动的,苏
284,生气的,富贵
285,圣洁的,幻觉
286,失望的,方片8
287,失意的,衣
288,守护者,黑桃K
289,守纪的,远锋
290,守望者,万
291,守信的,黑桃5
292,舒畅的,契约者
293,舒服的,漠然
294,帅气的,乌云
295,爽朗的,追命
296,随便的,支
297,碎骨者,远望
298,贪婪的,方片2
299,坦率的,无敌
300,探路者,素
301,淘宝者,使者
302,讨厌的,如花
303,特别的,难敌
304,体贴的,伟
305,天罚者,半鬼
306,天真的,灭绝
307,挑剔的,萧
308,痛恨的,怡
309,痛苦的,方片K
310,痛快的,高烽
311,突击者,击杀者
312,屠戮者,钱
313,颓丧的,红桃3
314,吞噬者,瞄准镜
315,拖延的,行天
316,妥协的,胜利者
317,外向的,一心
318,完美的,红桃Q
319,惋惜的,喧嚣
320,威武的,黑桃6
321,微笑的,稀
322,为难的,浩天
323,伟大的,芳
324,温柔的,常日
325,文静的,鹰
326,文艺的,张
327,稳健的,黑桃Q
328,稳重的,梅花5
329,污染者,难胜
330,无耻的,方片10
331,无赖的,左轮枪
332,无聊的,于
333,无面者,房
334,无奈的,善愁
335,无情的,仰
336,无畏的,蓝天
337,无助的,杀手
338,务实的,囚禁者
339,犀利的,无血
340,喜爱的,紫烟
341,喜欢的,城
342,喜悦的,柳
343,狭窄的,剑枪
344,夏日,傀儡
345,先驱者,德天
346,贤慧的,费
347,想象者,半神
348,潇洒的,双枪
349,泄气的,唐
350,心乱的,红桃5
351,欣慰的,方片7
352,欣喜的,魂幽
353,兴奋的,嗜血
354,幸福的,纹
355,幸运的,连狙
356,凶残的,梅花10
357,虚荣的,一枪
358,虚幻的,路人
359,严格的,齐发
360,严厉的,黑桃3
361,厌恶的,紫
362,阳光的,应龙
363,洋气的,厉
364,遗憾的,守护者
365,疑虑的,骆
366,英俊的,梅花A
367,勇敢的,妖枪
368,忧愁的,弓箭
369,忧郁的,若
370,幽默的,伍
371,犹豫的,丁
372,友好的,黑桃A
373,友善的,太兰
374,愉快的,车
375,圆滑的,黑桃8
376,怨恨的,开山
377,躁动的,弱者
378,憎恶的,芷
379,真诚的,扬
380,振奋的,斩魂
381,镇静的,秋尽
382,正义的,子弹壳
383,正直的,正义
384,直率的,云图
385,忠诚的,浩阑
386,忠厚的,蓝血
387,终结者,垣
388,主宰者,外绣
389,著名的,颤
390,抓狂的,铁枪
391,专横的,清炎
392,专注的,无招
393,追逐者,艳
394,追踪者,师傅
395,卓越的,不平
396,着急的,媚颜
397,自负的,老黑
398,自觉的,铸海
399,自信的,婴
400,罪恶的,雁
401,凉飞,翼
402,白色的,毒
403,荒城,小小
404,急匆匆,秋
405,轰炸,慕青
406,古枪,岩
407,静寂者,新柔
408,美滋滋,老师
409,热子弹,祈求
410,慢吞吞,夜曲
411,白血,皇
412,金枪,俊驰
413,隐蔽的,又菱
414,暖风,天佑
415,蓝风,紫寒
416,失败的,稳重者
417,气枪,曼易
418,水纹,黎昕
419,子弹,远航
420,兰博,子弹
421,慢悠悠,向前
422,水神,梅花Q
423,弩神,慕灵
424,沉重的,天磊
425,凶狠狠,绍辉
426,软绵绵,梅花J
427,英气,威震天
428,软风,博超
429,脏兮兮,方片5
430,轻轻地,自豪者
431,黑黑的,风痕
432,百目,明辉
433,大大的,伟诚
434,小小的,明轩
435,彷徨的,梅花8
436,韩,苑博
437,安,正豪
438,平,明杰
439,明,立诚
440,颜,枪托
441,应,明雪
442,杨,浩然
443,姜,振家
444,狼,黑桃2
445,膛线,晓博
446,常,浩轩
447,双,语堂
448,农,聪健
449,容,问旋
450,空,闪烁
451,红,海风
452,秋,夜鹰
453,贝,棱镜
454,祝,问安
455,胡,雅阳
456,纪,友军
457,白刃,凝海
458,王,平文
459,张,青文
460,陈,怜烟
461,曹,谷槐
462,元,余
463,卫,乾
464,华,赵
465,刘,擎汉
466,怀,鸣凤
467,周,红桃2
468,盖,豪英
469,徐,不二
470,管,巫
471,单,黑桃9
472,楚,颖
473,伤,逊
474,别人的,嫣
475,昌,诸神
476,邓,枪管
477,丁,盈
478,巩,红桃8
479,古,仲
480,谷,璎
481,鬼,严
482,国,超人
483,何,汪
484,乐,不凡
485,李,高丽
486,林,宫
487,雀,博
488,杀,洙
489,温,道痕
490,文,速度
491,闻,梅花2
492,仙枪,一斩
493,项,飞弹
494,谢,郑
495,许,豪
496,于,藏鸟
497,赵,狄
498,支,烙印
499,芙,晨
500,达,陵
